layer,f1,accuracy
1,0.25210084033613445,0.32116788321167883
2,0.25679285253753337,0.3357664233576642
3,0.19320703191670932,0.30656934306569344
4,0.22258454106280193,0.29927007299270075
5,0.25815836359125865,0.32116788321167883
6,0.21993911719939116,0.30656934306569344
