layer,f1,accuracy
1,0.2759503128794247,0.2846715328467153
2,0.32751778872468523,0.3284671532846715
3,0.3042411694585608,0.30656934306569344
4,0.25714129154223403,0.2773722627737226
5,0.26295773861316935,0.2773722627737226
6,0.2973017636494682,0.3357664233576642
